,Id,Ruolo,Nome,Squadra,Gol,Assist,Rigori calciati,Rigori segnati,Ammonizioni,Espulsioni,Gol subiti,Rigori parati,Minuti,Titolare,Entrato,Infortunato,Squalificato,Inutilizzato,Presenza,Stagione,Bonus,Malus,partite_bonus,partite_malus,partite_voto,minuti_medi,sostituito,%_con_voto,%_bonus,%_malus,%_sostituito,%_subentrato,Gol 90,Gol subiti 90,mediana_voto,media_voto,mediana_fantavoto,media_fantavoto,%_voto_<_5,%_voto_5_6,%_voto_6_7,%_voto_7_8,%_voto_>_8,%_fv_5,%_fv_5_6,%_fv_6_7,%_fv_7_8,%_fv_>_8,img,index_merge,xG,xA,xG90,xA90,Performance_gol_segnati
0,4312,P,Maignan,Milan,0.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,2880.0,32.0,0.0,6.0,0.0,0.0,32.0,2021_22,0.0,21.5,0.0,16.0,32.0,90.0,0.0,84.21,0.0,42.11,0.0,0.0,0.0,0.66,6.5,6.27,6.0,5.62,3.12,3.12,81.25,12.5,0.0,31.25,12.5,50.0,6.25,0.0,https://content.fantacalcio.it/web/campioncini/card/MAIGNAN.png?v=8,380.0,0.0,0.23,0.0,0.01,Under
1,250,P,Handanovic,Inter,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,3330.0,37.0,0.0,0.0,0.0,1.0,37.0,2021_22,0.0,30.5,0.0,22.0,37.0,90.0,0.0,97.37,0.0,57.89,0.0,0.0,0.0,0.81,6.0,6.16,5.5,5.34,8.11,8.11,75.68,8.11,0.0,37.84,16.22,43.24,2.7,0.0,https://content.fantacalcio.it/web/campioncini/card/HANDANOVIC.png?v=8,328.0,0.0,0.0,0.0,0.0,Under
2,453,P,Szczesny,Juventus,0.0,0.0,0.0,0.0,2.0,0.0,29.0,3.0,2970.0,33.0,0.0,0.0,0.0,5.0,33.0,2021_22,9.0,30.0,3.0,22.0,33.0,90.0,0.0,86.84,7.89,57.89,0.0,0.0,0.0,0.88,6.0,6.12,5.0,5.48,6.06,6.06,78.79,9.09,0.0,51.52,6.06,33.33,3.03,6.06,https://content.fantacalcio.it/web/campioncini/card/SZCZESNY.png?v=8,290.0,0.0,0.09,0.0,0.0,Under
3,572,P,Meret,Napoli,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,620.0,7.0,0.0,6.0,0.0,25.0,7.0,2021_22,0.0,6.0,0.0,4.0,7.0,88.57,1.0,18.42,0.0,10.53,2.63,0.0,0.0,0.86,6.0,5.86,5.5,5.0,14.29,0.0,85.71,0.0,0.0,28.57,28.57,42.86,0.0,0.0,https://content.fantacalcio.it/web/campioncini/card/MERET.png?v=8,350.0,0.0,0.0,0.0,0.0,Under
4,4270,P,Rui Patricio,Roma,0.0,0.0,0.0,0.0,2.0,0.0,43.0,1.0,3420.0,38.0,0.0,0.0,0.0,0.0,38.0,2021_22,3.0,44.0,1.0,23.0,38.0,90.0,0.0,100.0,2.63,60.53,0.0,0.0,0.0,1.13,6.0,6.17,6.0,5.09,7.89,5.26,73.68,13.16,0.0,44.74,2.63,50.0,2.63,0.0,https://content.fantacalcio.it/web/campioncini/card/RUI-PATRICIO.png?v=8,436.0,0.0,0.0,0.0,0.0,Under
5,2792,P,Musso,Atalanta,0.0,0.0,0.0,0.0,1.0,1.0,42.0,0.0,2970.0,33.0,0.0,0.0,1.0,4.0,33.0,2021_22,0.0,43.5,0.0,25.0,33.0,90.0,0.0,86.84,0.0,65.79,0.0,0.0,0.0,1.27,6.0,6.11,5.0,4.79,6.06,12.12,72.73,9.09,0.0,66.67,9.09,18.18,6.06,0.0,https://content.fantacalcio.it/web/campioncini/card/MUSSO.png?v=8,446.0,0.0,0.0,0.0,0.0,Under
6,610,P,Gollini,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://content.fantacalcio.it/web/campioncini/card/GOLLINI.png?v=12,,,,,,
7,5832,P,Luis Maximiano,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://content.fantacalcio.it/web/campioncini/card/NO-CAMPIONCINO.png?v=12,,,,,,
8,133,P,Skorupski,Bologna,0.0,0.0,0.0,0.0,4.0,0.0,53.0,1.0,3240.0,36.0,0.0,0.0,0.0,2.0,36.0,2021_22,3.0,55.0,1.0,25.0,36.0,90.0,0.0,94.74,2.63,65.79,0.0,0.0,0.0,1.47,6.0,6.24,5.0,4.79,2.78,11.11,66.67,19.44,0.0,58.33,8.33,22.22,11.11,0.0,https://content.fantacalcio.it/web/campioncini/card/SKORUPSKI.png?v=8,301.0,0.0,0.0,0.0,0.0,Under
9,316,P,Berisha,Torino,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,900.0,10.0,0.0,0.0,0.0,28.0,10.0,2021_22,3.0,8.5,1.0,7.0,10.0,90.0,0.0,26.32,2.63,18.42,0.0,0.0,0.0,0.8,6.25,6.1,6.0,5.55,20.0,10.0,50.0,20.0,0.0,30.0,10.0,50.0,0.0,10.0,https://content.fantacalcio.it/web/campioncini/card/BERISHA.png?v=8,324.0,0.0,0.0,0.0,0.0,Under
10,509,P,Consigli,Sassuolo,0.0,0.0,0.0,0.0,2.0,0.0,63.0,1.0,3322.0,37.0,0.0,0.0,0.0,1.0,37.0,2021_22,3.0,64.0,1.0,34.0,37.0,89.78,1.0,97.37,2.63,89.47,2.63,0.0,0.0,1.7,6.5,6.27,5.0,4.65,5.41,10.81,64.86,18.92,0.0,67.57,16.22,10.81,2.7,2.7,https://content.fantacalcio.it/web/campioncini/card/CONSIGLI.png?v=8,320.0,0.0,0.06,0.0,0.0,Under
11,2178,P,Cragno,Monza,0.0,0.0,0.0,0.0,3.0,0.0,63.0,2.0,3150.0,35.0,0.0,3.0,0.0,0.0,35.0,2021_22,6.0,64.5,2.0,33.0,35.0,90.0,0.0,92.11,5.26,86.84,0.0,0.0,0.0,1.8,6.0,6.24,5.0,4.57,2.86,8.57,65.71,22.86,0.0,74.29,11.43,11.43,0.0,2.86,https://content.fantacalcio.it/web/campioncini/card/CRAGNO.png?v=8,382.0,0.0,0.0,0.0,0.0,Under
