,Giornata,Partita,Voto,FV,Entrato,Uscito,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Ruolo,Squadra,Id,Status,Nome,Stagione,Bonus,Malus,ha_voto,ha_bonus,ha_malus,ha_sostituzione,ha_entrata,Minuti
0,1,ROM - FIO,7.5,9.5,0.0,69.0,0,0,0,0,0,0,2,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,2,0.0,True,True,False,True,False,69.0
1,2,SAL - ROM,7.0,10.0,0.0,82.0,1,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,True,False,82.0
2,3,ROM - SAS,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
3,4,VER - ROM,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
4,5,ROM - UDI,7.0,10.0,0.0,86.0,1,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,True,False,86.0
5,6,LAZ - ROM,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
6,7,ROM - EMP,7.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
7,8,JUV - ROM,6.0,5.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,False,False,90.0
8,9,ROM - NAP,6.0,5.5,0.0,86.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,True,False,86.0
9,10,CAG - ROM,5.5,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,False,False,90.0
10,11,ROM - MIL,5.5,5.5,0.0,63.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,63.0
11,12,VEN - ROM,7.0,9.5,0.0,0.0,1,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.5,True,True,True,False,False,90.0
12,13,GEN - ROM,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
13,14,ROM - TOR,7.0,10.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,False,False,90.0
14,15,BOL - ROM,5.5,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,False,False,90.0
15,16,ROM - INT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Squalificato,Abraham Tammy,2021_22,0,0.0,False,False,False,False,False,0.0
16,17,ROM - SPE,6.5,7.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,1,0.0,True,True,False,False,False,90.0
17,18,ATA - ROM,7.5,13.5,0.0,91.0,2,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,6,0.0,True,True,False,True,False,91.0
18,19,ROM - SAM,5.5,5.5,0.0,47.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,47.0
19,20,MIL - ROM,6.5,9.0,0.0,76.0,1,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.5,True,True,True,True,False,76.0
20,21,ROM - JUV,7.0,10.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,False,False,90.0
21,22,ROM - CAG,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
22,23,EMP - ROM,8.0,14.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,6,0.0,True,True,False,False,False,90.0
23,24,ROM - GEN,5.5,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,False,False,90.0
24,25,SAS - ROM,7.0,10.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,False,False,90.0
25,26,ROM - VER,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
26,27,SPE - ROM,6.0,9.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.0,True,True,False,False,False,90.0
27,28,ROM - ATA,7.0,9.5,0.0,83.0,1,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,3,0.5,True,True,True,True,False,83.0
28,29,UDI - ROM,5.5,5.5,0.0,65.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,65.0
29,30,ROM - LAZ,8.0,14.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,6,0.0,True,True,False,False,False,90.0
30,31,SAM - ROM,5.5,5.5,0.0,81.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,81.0
31,32,ROM - SAL,5.5,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.5,True,False,True,False,False,90.0
32,33,NAP - ROM,6.5,7.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,1,0.0,True,True,False,False,False,90.0
33,34,INT - ROM,5.5,5.5,0.0,78.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,78.0
34,35,ROM - BOL,6.0,6.0,58.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Entrato,Abraham Tammy,2021_22,0,0.0,True,False,False,False,True,32.0
35,36,FIO - ROM,5.5,5.5,0.0,90.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,True,False,90.0
36,37,ROM - VEN,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,0,0.0,True,False,False,False,False,90.0
37,38,TOR - ROM,7.5,13.5,0.0,0.0,2,0,0,1,1,0,0,0,0,0,A,Roma,2544,Titolare,Abraham Tammy,2021_22,6,0.0,True,True,False,False,False,90.0
38,1,EMP - LAZ,7.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
39,2,LAZ - SPE,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
40,3,MIL - LAZ,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
41,4,LAZ - CAG,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
42,5,TOR - LAZ,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
43,6,LAZ - ROM,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
44,7,BOL - LAZ,4.5,3.5,0.0,0.0,0,0,0,0,0,0,0,0,1,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,1.0,True,False,True,False,False,90.0
45,8,LAZ - INT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Squalificato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
46,9,VER - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Squalificato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
47,10,LAZ - FIO,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
48,11,ATA - LAZ,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
49,12,LAZ - SAL,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
50,13,LAZ - JUV,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
51,14,NAP - LAZ,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
52,15,LAZ - UDI,6.5,9.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,3,0.0,True,True,False,False,False,90.0
53,16,SAM - LAZ,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
54,17,SAS - LAZ,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
55,18,LAZ - GEN,7.0,10.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,3,0.0,True,True,False,False,False,90.0
56,19,VEN - LAZ,6.5,9.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,3,0.0,True,True,False,False,False,90.0
57,20,LAZ - EMP,6.0,6.0,0.0,24.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,True,False,24.0
58,21,INT - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
59,22,SAL - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
60,23,LAZ - ATA,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
61,24,FIO - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
62,25,LAZ - BOL,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
63,26,UDI - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Infortunato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,False,0.0
64,27,LAZ - NAP,0.0,0.0,84.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Entrato,Acerbi Francesco,2021_22,0,0.0,False,False,False,False,True,6.0
65,28,CAG - LAZ,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
66,29,LAZ - VEN,6.5,6.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
67,30,ROM - LAZ,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
68,31,LAZ - SAS,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
69,32,GEN - LAZ,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
70,33,LAZ - TOR,5.5,5.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
71,34,LAZ - MIL,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
72,35,SPE - LAZ,6.5,9.5,0.0,0.0,1,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,3,0.0,True,True,False,False,False,90.0
73,36,LAZ - SAM,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
74,37,JUV - LAZ,5.5,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.5,True,False,True,False,False,90.0
75,38,LAZ - VER,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,D,Lazio,513,Titolare,Acerbi Francesco,2021_22,0,0.0,True,False,False,False,False,90.0
76,1,EMP - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
77,2,LAZ - SPE,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
78,3,MIL - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
79,4,LAZ - CAG,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
80,5,TOR - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
81,6,LAZ - ROM,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
82,7,BOL - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
83,8,LAZ - INT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
84,9,VER - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
85,10,LAZ - FIO,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
86,11,ATA - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
87,12,LAZ - SAL,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
88,13,LAZ - JUV,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
89,14,NAP - LAZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Lazio,5502,Inutilizzato,Adamonis Marius,2021_22,0,0.0,False,False,False,False,False,0.0
