,nome,team,img,titolare,entrato,squalificato,infortunato,inutilizzato,presenze,minuti_giocati,sostituito,cartellini_gialli,cartellini_rossi,%_bonus_match,%_malus_match,%_match_voto,%_sostituzione
0,Adamonis,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ADAMONIS.png,25,0,0,0,32,0,2243,3,4,1,0.0,0.0,0.0,12.0
0,Aresti,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ARESTI.png,3,0,0,1,31,0,273,2,0,0,0.0,0.0,0.0,66.67
0,Adamonis,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ADAMONIS.png,25,0,0,0,32,0,2243,3,4,1,0.0,0.0,0.0,12.0
0,Aresti,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ARESTI.png,3,0,0,1,31,0,273,2,0,0,0.0,0.0,0.0,66.67
0,Berardi-A,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BERARDI-A.png,21,0,0,2,30,0,2085,9,3,0,0.0,0.0,0.0,42.86
0,Bertinato,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/BERTINATO.png,2,0,0,0,32,0,135,1,1,0,0.0,0.0,0.0,50.0
0,Boer,Roma,https://content.fantacalcio.it/web/campioncini/card2021/BOER.png,5,0,0,1,31,0,388,4,0,0,0.0,0.0,0.0,80.0
0,Furlan,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/FURLAN.png,1,0,0,1,31,0,332,1,0,0,0.0,0.0,0.0,100.0
0,Fuzato,Roma,https://content.fantacalcio.it/web/campioncini/card2021/FUZATO.png,5,0,0,2,30,0,388,4,0,0,0.0,0.0,0.0,80.0
0,Gasparini,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,24,0,0,0,32,0,2175,7,1,0,0.0,0.0,0.0,29.17
0,Marchetti,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/MARCHETTI.png,6,0,0,0,32,0,434,5,1,0,0.0,0.0,0.0,83.33
0,Marfella,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MARFELLA.png,1,0,0,0,32,0,307,0,1,0,0.0,0.0,0.0,0.0
0,Mirante,Milan,https://content.fantacalcio.it/web/campioncini/card2021/MIRANTE.png,12,0,0,0,32,0,1126,9,2,0,0.0,0.0,0.0,75.0
0,Molla,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/MOLLA.png,28,0,0,2,30,0,2305,15,6,0,0.0,0.0,0.0,53.57
0,Neri,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,2,0,0,0,32,0,135,1,1,0,0.0,0.0,0.0,50.0
0,Piana,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PIANA.png,24,0,0,0,32,0,2175,7,1,0,0.0,0.0,0.0,29.17
0,Pinsoglio,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PINSOGLIO.png,1,0,0,2,30,0,97,1,0,0,0.0,0.0,0.0,100.0
0,Ravaglia,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/RAVAGLIA.png,4,0,0,0,32,0,440,1,3,0,0.0,0.0,0.0,25.0
0,Rosati,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/ROSATI.png,1,0,0,0,32,0,220,0,1,0,0.0,0.0,0.0,0.0
0,Santurro,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,24,0,0,2,30,0,2175,7,1,0,0.0,0.0,0.0,29.17
0,Satalino,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/SATALINO.png,3,0,0,0,32,0,435,2,2,0,0.0,0.0,0.0,66.67
0,Semper,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/SEMPER.png,6,0,0,0,32,0,434,5,1,0,0.0,0.0,0.0,83.33
0,Ujkani,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/UJKANI.png,1,0,0,0,32,0,332,1,0,0,0.0,0.0,0.0,100.0
0,Ballarini,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/BALLARINI.png,24,0,0,0,32,0,2175,7,1,0,0.0,0.0,0.0,29.17
0,Benkovic,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,24,0,0,0,32,0,2175,7,1,0,0.0,0.0,0.0,29.17
0,Ceppitelli,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/CEPPITELLI.png,12,8,0,6,6,20,1137,4,2,0,5.0,10.0,53.12,33.33
0,Czyborra,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CZYBORRA.png,6,0,0,2,30,0,434,5,1,0,0.0,0.0,0.0,83.33
0,De-Winter,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,1,0,0,0,32,0,97,1,0,0,0.0,0.0,0.0,100.0
0,Gabbia,Milan,https://content.fantacalcio.it/web/campioncini/card2021/GABBIA.png,5,1,0,0,26,6,462,2,3,0,0.0,50.0,18.75,40.0
0,Kamenovic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/KAMENOVIC.png,25,0,0,0,32,0,2243,3,4,1,0.0,0.0,0.0,12.0
0,Romagna,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNA.png,3,0,0,0,32,0,435,2,2,0,0.0,0.0,0.0,66.67
0,Spinazzola,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png,5,0,0,32,0,0,388,4,0,0,0.0,0.0,0.0,80.0
0,Bianco,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BIANCO.png,1,0,0,0,32,0,220,0,1,0,0.0,0.0,0.0,0.0
0,Obiang,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/OBIANG.png,3,0,0,32,0,0,435,2,2,0,0.0,0.0,0.0,66.67
0,Palumbo,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PALUMBO.png,1,0,0,0,32,0,97,1,0,0,0.0,0.0,0.0,100.0
