,№,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90,Performance_gol_segnati
0,1.0,Ciro Immobile,Lazio,30.0,2641.0,27,2,21.95,2.57,0.75,0.09,Over
1,2.0,Dusan Vlahovic,"Fiorentina, Juventus",32.0,2718.0,23,3,17.38,2.96,0.58,0.1,Over
2,3.0,Lautaro Martínez,Inter,32.0,2083.0,17,3,20.50,3.55,0.89,0.15,Under
3,4.0,Giovanni Simeone,"Cagliari, Verona",33.0,2451.0,16,5,11.14,3.07,0.41,0.11,Over
4,5.0,Tammy Abraham,Roma,34.0,2852.0,15,4,19.25,4.19,0.61,0.13,Under
5,6.0,Domenico Berardi,Sassuolo,30.0,2620.0,14,14,11.46,9.07,0.39,0.31,Over
6,7.0,Marko Arnautovic,Bologna,31.0,2532.0,13,1,14.83,3.18,0.53,0.11,Under
7,8.0,Edin Dzeko,Inter,34.0,2389.0,13,5,15.66,4.34,0.59,0.16,Under
8,9.0,João Pedro,Cagliari,34.0,3060.0,13,4,12.25,3.55,0.36,0.1,Over
9,10.0,Victor Osimhen,Napoli,24.0,1791.0,13,2,11.71,2.18,0.59,0.11,Over
10,11.0,Gianluca Scamacca,Sassuolo,33.0,1921.0,13,0,9.29,1.92,0.44,0.09,Over
11,12.0,Gerard Deulofeu,Udinese,31.0,2422.0,12,4,8.41,6.82,0.31,0.25,Over
12,13.0,Gianluca Caprari,Verona,32.0,2508.0,12,7,6.75,6.63,0.24,0.24,Over
13,14.0,Andrea Pinamonti,Empoli,34.0,2691.0,12,2,11.90,3.17,0.4,0.11,Over
14,15.0,Mario Pasalic,Atalanta,33.0,1747.0,11,6,8.83,5.27,0.46,0.27,Over
15,16.0,Dries Mertens,Napoli,27.0,1218.0,11,1,4.99,2.12,0.37,0.16,Over
16,17.0,Antonin Barak,Verona,28.0,2265.0,11,4,10.65,3.29,0.42,0.13,Over
17,18.0,Francesco Caputo,"Sampdoria, Sassuolo",35.0,2781.0,11,5,10.91,4.06,0.35,0.13,Over
18,19.0,Beto,Udinese,28.0,2180.0,11,0,13.28,1.76,0.55,0.07,Under
19,20.0,Duván Zapata,Atalanta,21.0,1561.0,10,4,13.68,3.76,0.79,0.22,Under
20,21.0,Lorenzo Insigne,Napoli,29.0,2142.0,10,9,13.41,6.17,0.56,0.26,Under
21,22.0,Sergej Milinkovic-Savic,Lazio,34.0,2851.0,10,11,7.24,6.14,0.23,0.19,Over
22,23.0,Rafael Leão,AC Milan,31.0,2382.0,10,4,8.19,4.12,0.31,0.16,Over
23,24.0,Giacomo Raspadori,Sassuolo,33.0,2516.0,10,4,7.92,3.54,0.28,0.13,Over
24,25.0,Olivier Giroud,AC Milan,26.0,1730.0,9,3,9.98,2.37,0.52,0.12,Under
25,26.0,Paulo Dybala,Juventus,25.0,1801.0,9,5,7.96,4.80,0.4,0.24,Over
26,27.0,Mattia Destro,Genoa,25.0,1685.0,9,1,7.82,0.96,0.42,0.05,Over
27,28.0,Pedro,Lazio,30.0,1973.0,8,5,3.33,3.53,0.15,0.16,Over
28,29.0,Andrea Belotti,Torino,19.0,1155.0,8,1,6.98,0.52,0.54,0.04,Over
