,Id,Gol,Assist,Rigori calciati,Rigori segnati,Ammonizioni,Espulsioni,Gol subiti,Rigori parati,Minuti,Titolare,Entrato,Infortunato,Squalificato,Inutilizzato,Presenza,Nome,Stagione,Ruolo,Squadra,Bonus,Malus,partite_bonus,partite_malus,partite_voto,minuti_medi,sostituito,%_con_voto,%_bonus,%_malus,%_sostituito,%_subentrato,Gol 90,Gol subiti 90,mediana_voto,media_voto,mediana_fantavoto,media_fantavoto,%_voto_<_5,%_voto_5_6,%_voto_6_7,%_voto_7_8,%_voto_>_8,%_fv_5,%_fv_5_6,%_fv_6_7,%_fv_7_8,%_fv_>_8,img,index_merge,xG,xA,xG90,xA90,Performance_gol_segnati
0,2544,17.0,4.0,3.0,3.0,9.0,0.0,0.0,0.0,3099.0,36.0,1.0,0.0,1.0,0.0,37.0,Abraham Tammy,2021_22,A,Roma,55,4.5,16,9,37,83.76,13,97.37,42.11,23.68,34.21,2.63,0.46,0.0,6.0,6.26,6.0,7.62,2.7,40.54,21.62,29.73,5.41,13.51,35.14,5.41,8.11,37.84,https://content.fantacalcio.it/web/campioncini/card/ABRAHAM.png?v=8,4,19.25,4.19,0.61,0.13,Under
1,513,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2550.0,29.0,1.0,6.0,2.0,0.0,30.0,Acerbi Francesco,2021_22,D,Lazio,12,1.5,4,2,29,85.0,1,76.32,10.53,5.26,2.63,2.63,0.13,0.0,6.0,5.95,6.0,6.31,17.24,17.24,58.62,6.9,0.0,20.69,13.79,48.28,3.45,13.79,https://content.fantacalcio.it/web/campioncini/card/ACERBI.png?v=8,76,2.94,0.28,0.12,0.01,Over
2,5502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,Adamonis Marius,2021_22,P,Lazio,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://content.fantacalcio.it/web/campioncini/card/ADAMONIS.png?v=8,,0.0,0.0,0.0,0.0,No Data
3,5728,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,483.0,4.0,8.0,2.0,1.0,3.0,12.0,Afena-Gyan Felix,2021_22,A,Roma,0,1.0,0,2,8,40.25,6,44.44,0.0,11.11,33.33,44.44,0.0,0.0,5.5,5.56,5.25,5.44,25.0,50.0,25.0,0.0,0.0,50.0,25.0,25.0,0.0,0.0,https://content.fantacalcio.it/web/campioncini/card/AFENA-GYAN.png?v=8,160,1.91,0.78,0.26,0.11,Over
4,4515,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1240.0,12.0,11.0,10.0,1.0,4.0,23.0,Agudelo Kevin,2021_22,C,Spezia,10,1.5,4,2,23,53.91,8,60.53,10.53,5.26,21.05,28.95,0.13,0.0,5.5,5.89,5.5,6.26,4.35,47.83,34.78,13.04,0.0,4.35,52.17,26.09,0.0,17.39,https://content.fantacalcio.it/web/campioncini/card/AGUDELO.png?v=8,119,2.02,0.78,0.18,0.07,Over
5,2865,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1440.0,17.0,4.0,0.0,0.0,17.0,21.0,Aina Ola,2021_22,D,Torino,0,2.0,0,4,20,68.57,10,52.63,0.0,10.53,26.32,10.53,0.0,0.0,6.0,5.92,6.0,5.82,5.0,30.0,60.0,5.0,0.0,15.0,25.0,55.0,5.0,0.0,https://content.fantacalcio.it/web/campioncini/card/AINA.png?v=8,272,0.29,1.6,0.02,0.11,Under
6,5286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,311.0,4.0,6.0,3.0,0.0,25.0,10.0,Akpa Akpro Jean-Daniel,2021_22,C,Lazio,0,0.5,0,1,6,31.1,4,15.79,0.0,2.63,10.53,15.79,0.0,0.0,5.25,5.33,5.25,5.25,50.0,33.33,16.67,0.0,0.0,50.0,33.33,16.67,0.0,0.0,https://content.fantacalcio.it/web/campioncini/card/AKPA-AKPRO.png?v=8,368,0.16,0.03,0.05,0.01,Under
7,662,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1772.0,17.0,11.0,3.0,0.0,7.0,28.0,Alex Sandro Lobo,2021_22,D,Juventus,1,1.5,1,3,27,63.29,4,71.05,2.63,7.89,10.53,28.95,0.0,0.0,6.0,5.76,5.5,5.67,7.41,40.74,51.85,0.0,0.0,18.52,33.33,44.44,3.7,0.0,https://content.fantacalcio.it/web/campioncini/card/ALEX-SANDRO.png?v=8,297,1.07,1.8,0.06,0.11,Under
8,5447,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1473.0,17.0,2.0,1.0,0.0,18.0,19.0,Altare Giorgio,2021_22,D,Cagliari,3,2.5,1,5,19,77.53,5,50.0,2.63,13.16,13.16,5.26,0.05,0.0,6.0,5.97,6.0,6.0,15.79,10.53,68.42,5.26,0.0,15.79,31.58,42.11,5.26,5.26,https://content.fantacalcio.it/web/campioncini/card/ALTARE.png?v=8,396,1.09,0.33,0.08,0.02,Under
9,5475,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,2732.0,31.0,1.0,2.0,3.0,1.0,32.0,Amian Kelvin,2021_22,D,Spezia,4,5.5,2,9,32,85.38,3,84.21,5.26,23.68,7.89,2.63,0.03,0.0,5.75,5.72,5.5,5.67,15.62,34.38,50.0,0.0,0.0,21.88,31.25,40.62,3.12,3.12,https://content.fantacalcio.it/web/campioncini/card/AMIAN.png?v=8,200,2.88,1.25,0.11,0.05,Under
10,4719,0.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,2313.0,24.0,3.0,0.0,4.0,3.0,27.0,Ampadu Ethan,2021_22,D,Venezia,3,7.0,3,12,29,85.67,7,85.29,8.82,35.29,20.59,8.82,0.0,0.0,6.0,5.83,5.5,5.69,10.34,31.03,58.62,0.0,0.0,13.79,51.72,24.14,10.34,0.0,https://content.fantacalcio.it/web/campioncini/card/AMPADU.png?v=8,428,0.22,1.36,0.01,0.06,Under
11,4522,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,930.0,8.0,15.0,2.0,1.0,12.0,23.0,Amrabat Sofyan,2021_22,C,Fiorentina,3,3.0,1,6,18,40.43,2,47.37,2.63,15.79,5.26,39.47,0.04,0.0,6.0,6.06,6.0,6.08,0.0,22.22,72.22,5.56,0.0,5.56,27.78,55.56,5.56,5.56,https://content.fantacalcio.it/web/campioncini/card/AMRABAT.png?v=8,229,0.08,0.15,0.01,0.02,Over
12,706,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,679.0,5.0,14.0,8.0,0.0,11.0,19.0,Ansaldi Cristian,2021_22,D,Torino,3,1.0,2,2,15,35.74,3,39.47,5.26,5.26,7.89,36.84,0.0,0.0,6.0,6.13,6.0,6.27,6.67,6.67,80.0,6.67,0.0,13.33,6.67,66.67,6.67,6.67,https://content.fantacalcio.it/web/campioncini/card/ANSALDI.png?v=8,330,0.25,2.72,0.04,0.43,Under
13,5673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,8.0,9.0,0.0,0.0,19.0,17.0,Antiste Janis,2021_22,A,Spezia,3,0.0,1,0,15,46.12,7,41.67,2.78,0.0,19.44,25.0,0.06,0.0,6.0,5.77,6.0,5.97,20.0,20.0,60.0,0.0,0.0,20.0,20.0,53.33,0.0,6.67,https://content.fantacalcio.it/web/campioncini/card/ANTISTE.png?v=8,233,1.22,0.29,0.16,0.04,Under
14,1980,7.0,5.0,4.0,3.0,6.0,0.0,0.0,0.0,2113.0,25.0,7.0,3.0,3.0,0.0,32.0,Aramu Mattia,2021_22,C,Venezia,26,3.0,11,6,32,66.03,18,84.21,28.95,15.79,47.37,18.42,0.22,0.0,6.0,6.14,6.0,6.77,6.25,21.88,46.88,25.0,0.0,12.5,18.75,34.38,12.5,21.88,https://content.fantacalcio.it/web/campioncini/card/ARAMU.png?v=8,59,5.04,4.09,0.25,0.2,Under
15,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,Aresti Simone,2021_22,P,Cagliari,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://content.fantacalcio.it/web/campioncini/card/ARESTI.png?v=8,,0.0,0.0,0.0,0.0,No Data
16,4268,14.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,2707.0,32.0,1.0,3.0,1.0,1.0,33.0,Arnautovic Marko,2021_22,A,Bologna,43,3.0,13,6,32,82.03,12,84.21,34.21,15.79,31.58,2.63,0.42,0.0,6.0,6.28,6.0,7.44,6.25,18.75,40.62,31.25,3.12,6.25,21.88,34.38,0.0,37.5,https://content.fantacalcio.it/web/campioncini/card/ARNAUTOVIC.png?v=8,6,14.83,3.18,0.53,0.11,Under
