,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Entrato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Squalificato
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
