,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Inutilizzato
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Inutilizzato
13,14,Titolare
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Infortunato
21,22,Inutilizzato
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Titolare
26,27,Infortunato
27,28,Infortunato
28,29,Entrato
29,30,Inutilizzato
30,31,Titolare
31,32,Inutilizzato
32,33,Entrato
33,34,Titolare
34,35,Entrato
35,36,Entrato
36,37,Titolare
37,38,Titolare
