,Giornata,Status
0,1,Infortunato
1,2,Inutilizzato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Titolare
8,9,Entrato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Entrato
28,29,Inutilizzato
29,30,Infortunato
30,31,Entrato
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Squalificato
37,38,Titolare
