,Giornata,Status
0,1,Infortunato
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Inutilizzato
8,9,Titolare
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Infortunato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
