,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Titolare
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Entrato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
