,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Inutilizzato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Titolare
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Entrato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Entrato
31,32,Titolare
32,33,Infortunato
33,34,Infortunato
34,35,Entrato
35,36,Titolare
36,37,Infortunato
37,38,Infortunato
