,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Squalificato
20,21,Titolare
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Inutilizzato
37,38,Entrato
