,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Infortunato
8,9,Entrato
9,10,Titolare
10,11,Infortunato
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Entrato
17,18,Squalificato
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Titolare
26,27,Inutilizzato
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Inutilizzato
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Titolare
