,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Inutilizzato
35,36,Titolare
36,37,Entrato
37,38,Entrato
