,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Inutilizzato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
