,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Entrato
4,5,Inutilizzato
5,6,Entrato
6,7,Titolare
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Squalificato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Squalificato
35,36,Titolare
36,37,Titolare
37,38,Titolare
