,Giornata,Status
0,1,Squalificato
1,2,Infortunato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Titolare
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Titolare
23,24,Titolare
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Entrato
30,31,Inutilizzato
31,32,Infortunato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Inutilizzato
