,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Infortunato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Infortunato
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Titolare
29,30,Titolare
30,31,Inutilizzato
31,32,Infortunato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Infortunato
37,38,Infortunato
