,Giornata,Status
0,1,Titolare
1,2,Inutilizzato
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Entrato
37,38,Titolare
