,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Infortunato
27,28,Entrato
28,29,Titolare
29,30,Infortunato
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
