,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Entrato
7,8,Titolare
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Titolare
21,22,Infortunato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
