,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Titolare
5,6,Inutilizzato
6,7,Entrato
7,8,Entrato
8,9,Inutilizzato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Infortunato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Infortunato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Titolare
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Titolare
33,34,Inutilizzato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
