,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Titolare
14,15,Infortunato
15,16,Entrato
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Squalificato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Infortunato
32,33,Titolare
33,34,Infortunato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
