,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Titolare
3,4,Inutilizzato
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Infortunato
10,11,Entrato
11,12,Inutilizzato
12,13,Infortunato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Entrato
22,23,Entrato
23,24,Infortunato
24,25,Inutilizzato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Squalificato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Entrato
36,37,Titolare
37,38,Titolare
