,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Titolare
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Squalificato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Infortunato
20,21,Infortunato
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
