,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Entrato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Entrato
28,29,Entrato
29,30,Infortunato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Titolare
