,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Infortunato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Inutilizzato
18,19,Titolare
19,20,Titolare
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Squalificato
32,33,Titolare
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
