,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Entrato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Titolare
19,20,Inutilizzato
20,21,Titolare
21,22,Inutilizzato
22,23,Titolare
23,24,Inutilizzato
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Inutilizzato
28,29,Titolare
29,30,Squalificato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Titolare
