,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Inutilizzato
24,25,Titolare
25,26,Infortunato
26,27,Titolare
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
