,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
