,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Titolare
29,30,Entrato
30,31,Titolare
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Inutilizzato
36,37,Infortunato
37,38,Entrato
