,Giornata,Status
0,1,Infortunato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Infortunato
23,24,Entrato
24,25,Titolare
25,26,Squalificato
26,27,Titolare
27,28,Inutilizzato
28,29,Titolare
29,30,Entrato
30,31,Inutilizzato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
