,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Entrato
11,12,Titolare
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Entrato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
