,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Titolare
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
