,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Entrato
14,15,Inutilizzato
15,16,Infortunato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Infortunato
20,21,Infortunato
21,22,Inutilizzato
22,23,Infortunato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Entrato
37,38,Inutilizzato
