,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Inutilizzato
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Squalificato
23,24,Entrato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
