,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Titolare
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Infortunato
32,33,Infortunato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
