,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Entrato
13,14,Entrato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Titolare
21,22,Inutilizzato
22,23,Titolare
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
