,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Squalificato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Inutilizzato
27,28,Infortunato
28,29,Infortunato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
