,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Entrato
6,7,Infortunato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Infortunato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Inutilizzato
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Infortunato
21,22,Infortunato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Entrato
27,28,Entrato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Titolare
34,35,Inutilizzato
35,36,Titolare
36,37,Titolare
37,38,Titolare
