,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Infortunato
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Inutilizzato
10,11,Titolare
11,12,Inutilizzato
12,13,Infortunato
13,14,Inutilizzato
14,15,Titolare
15,16,Titolare
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Infortunato
19,20,Infortunato
20,21,Entrato
21,22,Inutilizzato
22,23,Titolare
23,24,Titolare
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Entrato
35,36,Inutilizzato
36,37,Titolare
37,38,Titolare
