,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Inutilizzato
16,17,Titolare
17,18,Titolare
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Titolare
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Inutilizzato
36,37,Titolare
37,38,Inutilizzato
