,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Entrato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Infortunato
27,28,Infortunato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
