,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Entrato
20,21,Inutilizzato
21,22,Entrato
22,23,Inutilizzato
23,24,Entrato
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Infortunato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Infortunato
32,33,Inutilizzato
33,34,Infortunato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
