,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Entrato
3,4,Titolare
4,5,Infortunato
5,6,Infortunato
6,7,Titolare
7,8,Entrato
8,9,Infortunato
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Titolare
20,21,Entrato
21,22,Entrato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Entrato
37,38,Titolare
