,Giornata,Status
0,1,Infortunato
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Infortunato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Inutilizzato
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
