,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Titolare
34,35,Inutilizzato
35,36,Entrato
36,37,Titolare
37,38,Titolare
