,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Titolare
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Inutilizzato
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Inutilizzato
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Inutilizzato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
