,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Inutilizzato
4,5,Titolare
5,6,Titolare
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Inutilizzato
25,26,Titolare
26,27,Inutilizzato
27,28,Titolare
28,29,Titolare
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Titolare
35,36,Entrato
36,37,Titolare
37,38,Inutilizzato
