,Giornata,Status
0,1,Squalificato
1,2,Squalificato
2,3,Squalificato
3,4,Squalificato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Infortunato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Squalificato
29,30,Titolare
30,31,Titolare
31,32,Squalificato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
