,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Titolare
3,4,Inutilizzato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Titolare
8,9,Inutilizzato
9,10,Titolare
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Titolare
17,18,Inutilizzato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Inutilizzato
27,28,Infortunato
28,29,Entrato
29,30,Titolare
30,31,Entrato
31,32,Squalificato
32,33,Titolare
33,34,Titolare
34,35,Inutilizzato
35,36,Titolare
36,37,Inutilizzato
37,38,Infortunato
