,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Infortunato
3,4,Infortunato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Infortunato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Titolare
26,27,Titolare
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Entrato
37,38,Titolare
