,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Infortunato
14,15,Infortunato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Titolare
29,30,Infortunato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Titolare
37,38,Entrato
