,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Titolare
35,36,Titolare
36,37,Entrato
37,38,Inutilizzato
