,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Infortunato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Inutilizzato
16,17,Entrato
17,18,Titolare
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Infortunato
22,23,Infortunato
23,24,Entrato
24,25,Inutilizzato
25,26,Entrato
26,27,Titolare
27,28,Inutilizzato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Inutilizzato
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
