,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Infortunato
8,9,Infortunato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Inutilizzato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
