,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Inutilizzato
6,7,Infortunato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Titolare
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Titolare
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Titolare
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Inutilizzato
34,35,Infortunato
35,36,Infortunato
36,37,Entrato
37,38,Titolare
