,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Inutilizzato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Entrato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Entrato
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Titolare
32,33,Inutilizzato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Entrato
