,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Inutilizzato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Squalificato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Titolare
18,19,Titolare
19,20,Entrato
20,21,Titolare
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
