,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
