,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Titolare
7,8,Entrato
8,9,Entrato
9,10,Inutilizzato
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Inutilizzato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Inutilizzato
35,36,Titolare
36,37,Entrato
37,38,Titolare
