,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Inutilizzato
11,12,Entrato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Entrato
22,23,Inutilizzato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
