,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Inutilizzato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Infortunato
7,8,Infortunato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Infortunato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Infortunato
18,19,Infortunato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
