,Giornata,Status
0,1,Titolare
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Squalificato
25,26,Entrato
26,27,Infortunato
27,28,Infortunato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Inutilizzato
36,37,Entrato
37,38,Infortunato
